"Date","Price","Open","High","Low","Vol.","Change %"
"03/17/2023","279.43","278.26","283.33","276.32","69.53M","1.17%"
"03/16/2023","276.20","265.20","276.56","263.28","53.64M","4.05%"
"03/15/2023","265.44","259.98","266.48","259.21","45.77M","1.78%"
"03/14/2023","260.79","256.75","261.07","255.86","33.34M","2.71%"
"03/13/2023","253.92","247.40","257.91","245.73","33.34M","2.14%"
"03/10/2023","248.59","251.08","252.79","247.60","28.33M","-1.48%"
"03/09/2023","252.32","255.82","259.56","251.58","26.48M","-0.54%"
"03/08/2023","253.70","254.04","254.54","250.81","17.34M","-0.18%"
"03/07/2023","254.15","256.30","257.69","253.39","21.47M","-1.06%"
"03/06/2023","256.87","256.42","260.12","255.98","24.11M","0.62%"
"03/03/2023","255.29","252.19","255.62","251.39","29.28M","1.66%"
"03/02/2023","251.11","246.55","251.40","245.61","24.75M","1.97%"
"03/01/2023","246.27","250.76","250.93","245.79","26.53M","-1.26%"
"02/28/2023","249.42","249.07","251.49","248.73","22.49M","-0.30%"
"02/27/2023","250.16","252.46","252.82","249.39","21.19M","0.38%"
"02/24/2023","249.22","249.96","251.00","248.10","24.99M","-2.18%"
"02/23/2023","254.77","255.56","256.84","250.48","29.22M","1.30%"
"02/22/2023","251.51","254.09","254.34","250.34","22.49M","-0.46%"
"02/21/2023","252.67","254.48","255.49","251.59","28.40M","-2.09%"
"02/17/2023","258.06","259.39","260.09","256.00","30.00M","-1.56%"
"02/16/2023","262.15","264.02","266.74","261.90","29.19M","-2.66%"
"02/15/2023","269.32","268.32","270.73","266.18","28.36M","-1.05%"
"02/14/2023","272.17","272.67","274.97","269.28","37.05M","0.31%"
"02/13/2023","271.32","267.64","274.60","267.15","44.43M","3.12%"
"02/10/2023","263.10","261.53","264.09","260.66","25.82M","-0.20%"
"02/09/2023","263.62","273.80","273.98","262.80","39.68M","-1.17%"
"02/08/2023","266.73","273.20","276.76","266.21","54.25M","-0.31%"
"02/07/2023","267.56","260.53","268.77","260.08","50.45M","4.20%"
"02/06/2023","256.77","257.44","258.30","254.78","22.44M","-0.61%"
"02/03/2023","258.35","259.54","264.20","257.10","29.08M","-2.36%"
"02/02/2023","264.60","258.82","264.69","257.25","39.18M","4.69%"
"02/01/2023","252.75","248.00","255.18","245.47","29.93M","1.99%"
"01/31/2023","247.81","243.45","247.95","242.95","26.54M","2.10%"
"01/30/2023","242.71","244.51","245.60","242.20","25.69M","-2.20%"
"01/27/2023","248.16","248.99","249.83","246.83","26.50M","0.06%"
"01/26/2023","248.00","243.65","248.31","242.00","33.16M","3.07%"
"01/25/2023","240.61","234.48","243.30","230.90","66.36M","-0.59%"
"01/24/2023","242.04","242.50","243.95","240.44","34.49M","-0.22%"
"01/23/2023","242.58","241.10","245.16","239.65","31.51M","0.98%"
"01/20/2023","240.22","234.85","240.74","234.51","35.39M","3.57%"
"01/19/2023","231.93","233.78","235.52","230.68","28.38M","-1.65%"
"01/18/2023","235.81","241.57","242.38","235.52","30.03M","-1.89%"
"01/17/2023","240.35","237.97","240.91","237.09","29.72M","0.47%"
"01/13/2023","239.23","237.00","239.37","234.92","21.33M","0.30%"
"01/12/2023","238.51","235.26","239.90","233.56","27.17M","1.16%"
"01/11/2023","235.77","231.29","235.95","231.11","28.39M","3.02%"
"01/10/2023","228.85","227.76","231.31","227.33","26.87M","0.76%"
"01/09/2023","227.12","226.45","231.24","226.41","27.04M","0.97%"
"01/06/2023","224.93","223.00","225.76","219.35","43.61M","1.18%"
"01/05/2023","222.31","227.20","227.55","221.76","39.23M","-2.96%"
"01/04/2023","229.10","232.27","232.87","225.96","50.28M","-4.37%"
"01/03/2023","239.58","243.08","245.75","237.40","25.68M","-0.10%"
"12/30/2022","239.82","238.21","239.96","236.66","21.94M","-0.49%"
"12/29/2022","241.01","235.65","241.92","235.65","19.74M","2.76%"
"12/28/2022","234.53","236.89","239.72","234.17","17.20M","-1.03%"
"12/27/2022","236.96","238.70","238.93","235.83","16.42M","-0.74%"
"12/23/2022","238.73","236.11","238.87","233.94","21.21M","0.23%"
"12/22/2022","238.19","241.26","241.99","233.87","28.62M","-2.55%"
"12/21/2022","244.43","241.69","245.62","240.11","23.67M","1.09%"
"12/20/2022","241.80","239.40","242.91","238.42","25.08M","0.56%"
"12/19/2022","240.45","244.86","245.21","238.71","29.63M","-1.73%"
"12/16/2022","244.69","248.55","249.84","243.51","86.10M","-1.73%"
"12/15/2022","249.01","253.72","254.20","247.34","35.49M","-3.19%"
"12/14/2022","257.22","257.13","262.59","254.31","35.41M","0.12%"
"12/13/2022","256.92","261.69","263.92","253.07","42.12M","1.75%"
"12/12/2022","252.51","247.45","252.54","247.17","30.43M","2.89%"
"12/09/2022","245.42","244.70","248.31","244.16","20.61M","-0.80%"
"12/08/2022","247.40","244.84","248.74","243.06","22.55M","1.24%"
"12/07/2022","244.37","244.83","246.16","242.21","20.43M","-0.31%"
"12/06/2022","245.12","250.82","251.86","243.78","22.43M","-2.03%"
"12/05/2022","250.20","252.01","253.82","248.06","22.56M","-1.89%"
"12/02/2022","255.02","249.82","256.06","249.69","21.53M","0.13%"
"12/01/2022","254.69","253.87","256.12","250.92","26.04M","-0.18%"
"11/30/2022","255.14","240.57","255.33","239.86","47.59M","6.16%"
"11/29/2022","240.33","241.40","242.79","238.21","17.96M","-0.59%"
"11/28/2022","241.76","246.08","246.65","240.80","24.81M","-2.32%"
"11/25/2022","247.49","247.31","248.70","246.73","9.20M","-0.04%"
"11/23/2022","247.58","245.10","248.28","244.27","19.51M","1.04%"
"11/22/2022","245.03","243.59","245.31","240.71","19.67M","1.23%"
"11/21/2022","242.05","241.43","244.67","241.19","26.39M","0.34%"
"11/18/2022","241.22","243.51","243.74","239.03","27.61M","-0.19%"
"11/17/2022","241.68","237.78","243.25","237.63","23.12M","-0.02%"
"11/16/2022","241.73","242.79","243.80","240.42","24.09M","-0.10%"
"11/15/2022","241.97","245.66","247.00","240.03","31.39M","0.17%"
"11/14/2022","241.55","241.99","243.91","239.21","31.12M","-2.25%"
"11/11/2022","247.11","242.99","247.99","241.93","34.62M","1.70%"
"11/10/2022","242.98","235.43","243.33","235.00","46.27M","8.23%"
"11/09/2022","224.51","227.37","228.63","224.33","27.85M","-1.91%"
"11/08/2022","228.87","228.70","231.65","225.84","28.19M","0.44%"
"11/07/2022","227.87","221.99","228.41","221.28","33.50M","2.93%"
"11/04/2022","221.39","217.55","221.59","213.43","36.79M","3.33%"
"11/03/2022","214.25","220.09","220.41","213.98","36.63M","-2.66%"
"11/02/2022","220.10","229.46","231.30","220.04","38.41M","-3.54%"
"11/01/2022","228.17","234.60","235.74","227.32","30.59M","-1.71%"
"10/31/2022","232.13","233.76","234.92","231.15","28.36M","-1.59%"
"10/28/2022","235.87","226.24","236.60","226.05","40.65M","4.02%"
"10/27/2022","226.75","231.04","233.69","225.78","40.42M","-1.98%"
"10/26/2022","231.32","231.17","238.30","230.06","82.68M","-7.72%"
"10/25/2022","250.66","247.26","251.04","245.83","34.78M","1.38%"
"10/24/2022","247.25","243.76","247.84","241.29","24.91M","2.12%"
"10/21/2022","242.12","234.74","243.00","234.50","26.30M","2.53%"
"10/20/2022","236.15","235.77","241.31","234.87","21.81M","-0.14%"
